id,bill_id,note,date,classification,extras
c6c3d437-32a4-4f83-a4d5-353795316b3f,ocd-bill/5a95e497-6d47-4d72-bdfd-77b40c72acb1,Introduced,,,{}
9ff1f278-1156-4897-89b7-56b9a57558cd,ocd-bill/f848613d-9abd-4189-9f7d-c2492210619a,Introduced,,,{}
1ccc7ffa-e071-4c07-b932-177191a85473,ocd-bill/a19b9f52-3381-44e3-b114-b3620281666b,Introduced,,,{}
c15fce04-0a2a-4474-bd8e-09a72aa7a94a,ocd-bill/53c08052-b329-404c-9ada-eb14386f90a9,Introduced,,,{}
2c9f3a24-7bfe-47f4-a3b1-007b9bb5aa94,ocd-bill/2b533a61-e7b2-462d-8418-fadbffa81ae3,Introduced,,,{}
911e1bf3-e1a5-47a0-a3f6-8862ef5e0953,ocd-bill/81579fc2-2aa6-45b3-a173-23c50c213565,Introduced,,,{}
b76bf9d8-19d9-432a-9c57-d64326d003cd,ocd-bill/6627e550-85ba-4333-90b4-f08014fe4785,Introduced,,,{}
69fa27ef-4ccb-4e50-8cd6-cce441b54c96,ocd-bill/b5d85063-f2ac-4aa2-b640-3b9e416c175d,Introduced,,,{}
b853909d-b3af-49d7-be8b-08ab0ebef008,ocd-bill/ff63221e-e507-41b1-81ce-18d2a697ae58,Introduced,,,{}
549fcf0c-d6e6-43de-a2ff-703f3fc1c31c,ocd-bill/84430f9b-33b4-45a9-8987-4e778fb516c2,Introduced,,,{}
c842a85c-a206-498c-a6bb-fdeebd3430d3,ocd-bill/a0228e9e-f1fa-4caf-ae84-635f394c6f21,Introduced,,,{}
97cae15d-4bc6-4d06-a795-06025bdeb21b,ocd-bill/1ead6ef4-4e81-44ee-91dc-73008dd0da9e,Introduced,,,{}
ffd6367d-78fc-4e0c-826c-599614a3aba3,ocd-bill/2d8271d6-0129-4a4f-ad3c-a3c0990cd1ee,Introduced,,,{}
55edaee4-4cae-4ed3-84a8-97ce74835d8f,ocd-bill/fb19c688-0136-490d-b67a-1ee2aed4d08a,Introduced,,,{}
f7ec000b-8899-4edc-972b-ce5daf8c51a7,ocd-bill/d475af53-9f65-495f-b95d-9f916e131ce3,Introduced,,,{}
f06ad5a0-5cfd-4202-a71f-a966256e65e8,ocd-bill/f3787cf6-9657-4f43-ad95-04c947e32d71,Introduced,,,{}
077367a8-7648-4347-8bdf-5098f99c496a,ocd-bill/f569f209-7208-41be-921f-6c0666a4f7db,Introduced,,,{}
8036d67f-175f-41ae-b515-16cc7557ac21,ocd-bill/eb7c4418-ec98-4992-82be-8febe21eba6e,Introduced,,,{}
715264c4-77e0-4397-8773-d401502f6256,ocd-bill/3a0948e8-2877-4f52-85d2-5fa78c181c1e,Introduced,,,{}
80acdddd-9f99-4090-b1cc-fa766f78a2b3,ocd-bill/31a1c050-3b97-4498-a213-0a4ca878bff7,Introduced,,,{}
735faebb-497d-408e-8087-8770e0d5433f,ocd-bill/49d92021-319b-4055-b51b-dbd90823bd73,Introduced,,,{}
3bc43d0e-856f-467a-9569-2cca5a0a8acd,ocd-bill/911b0f54-7ec7-4c5a-b71b-5482cafffa2f,Introduced,,,{}
a4706b9c-5775-4cd8-9f51-16e00f2ccae8,ocd-bill/d6ccda1a-e04b-4326-8aeb-d6a6ab882f3c,Introduced,,,{}
6de70b4d-cc55-4695-b72d-e34324eae13c,ocd-bill/d6ccda1a-e04b-4326-8aeb-d6a6ab882f3c,Engrossed,,,{}
303bee9c-3ee8-4660-84d1-95bb8f165e0a,ocd-bill/d6ccda1a-e04b-4326-8aeb-d6a6ab882f3c,Enrolled,,,{}
c7719ba0-0bc4-4c1c-960d-3c988c19dec2,ocd-bill/d6ccda1a-e04b-4326-8aeb-d6a6ab882f3c,Senate Amendment 001,,,{}
ebbca4c4-c3b5-4e20-84cf-d8c54017a669,ocd-bill/3d9f5d76-00fe-45ee-8bcc-1b4b89449302,Introduced,,,{}
eebcd1f0-6ebf-4a93-a5cf-b6b63b3cd7f6,ocd-bill/ce91f548-6cae-421e-b638-63396acee388,Introduced,,,{}
f76dea4f-d517-451e-9b41-1bd454216cdf,ocd-bill/4d5197ac-f50b-40fd-b4c4-40dde431b25a,Introduced,,,{}
7f6af305-11a5-460d-a4e4-8fdd7737afa5,ocd-bill/4d03110e-b902-40c4-8867-fad44dad0873,Introduced,,,{}
63e21be9-0055-4adf-bc36-de02ad4f13ee,ocd-bill/8d5851df-9639-49a8-a732-bdea04bdbf21,Introduced,,,{}
fd4a20f9-d579-4300-b579-52f81d91b40d,ocd-bill/90e509db-8d46-4b67-8cf5-71ef0ee34ad3,Introduced,,,{}
5a95b36c-05ca-42ee-bec0-c0274d532040,ocd-bill/88ddc436-7b87-4cb4-b131-10bcfe04f88a,Introduced,,,{}
e421267a-47da-4029-a7f8-31a7af43ea4e,ocd-bill/7bef083e-5649-46e9-8aa1-185f6061e720,Introduced,,,{}
a45f7855-714b-47fa-b705-f98d0a306158,ocd-bill/7bef083e-5649-46e9-8aa1-185f6061e720,Engrossed,,,{}
2d5097d4-4feb-4b7d-9f50-04dc6fb8b199,ocd-bill/7bef083e-5649-46e9-8aa1-185f6061e720,Senate Amendment 001,,,{}
fc16621c-1697-49ac-9a88-0529a6fb57f1,ocd-bill/1ed5dcda-8403-4a58-91a8-55aa1ca12ded,Introduced,,,{}
61e06111-428d-4a03-a454-26332c9aed44,ocd-bill/da5b3553-86bd-4a38-83fe-10627f0c043a,Introduced,,,{}
88338b47-5a44-47f2-bff8-ed5417675240,ocd-bill/eb6398e7-6c63-4d00-81c6-2d65b6d3973d,Introduced,,,{}
7d2ced29-6be5-43f2-b6b9-970da86b52fc,ocd-bill/39717bb5-4f9d-4bb9-9741-53c8e4378600,Introduced,,,{}
12cb6585-e864-4a4c-a038-38c4d041647a,ocd-bill/d5219b22-5b0c-4e43-89da-f602758d5084,Introduced,,,{}
79121f9e-0981-4458-a7a5-3cbd28ae873f,ocd-bill/97fd841a-97ac-45df-b6d0-2d5a139c31af,Introduced,,,{}
63bf6adf-af61-4958-96ed-cdfec8d2f697,ocd-bill/97fd841a-97ac-45df-b6d0-2d5a139c31af,Engrossed,,,{}
031d11ca-e309-48dc-9e6c-3504014cd9ec,ocd-bill/97fd841a-97ac-45df-b6d0-2d5a139c31af,Enrolled,,,{}
b54d6637-2239-4b5f-9dd6-14c7e1fa1e90,ocd-bill/97fd841a-97ac-45df-b6d0-2d5a139c31af,Senate Amendment 001,,,{}
681b3a13-d8b7-4544-93fd-9fc28af75f10,ocd-bill/97fd841a-97ac-45df-b6d0-2d5a139c31af,Senate Amendment 002,,,{}
783cba0f-dfb8-4248-95d8-a9b7028642d4,ocd-bill/97fd841a-97ac-45df-b6d0-2d5a139c31af,Senate Amendment 003,,,{}
5f3b9cb3-0f69-44ee-8ee2-c5ec5fd723a8,ocd-bill/7fb49ad9-d9bc-49ab-9057-4eea3041964b,Introduced,,,{}
4eee36fb-c51f-491e-9f8e-11934fe22083,ocd-bill/f42e6a8c-6b43-4db2-90a5-c9111d34bb9e,Introduced,,,{}
dfcf459f-444e-4916-89bd-d0a166697f9d,ocd-bill/46caf0d3-4821-4f8e-a74b-46373d5b589d,Introduced,,,{}
c32c7ed3-51f3-4432-bcb3-47b4795174c6,ocd-bill/a5de84f1-f857-46f0-87d8-2020698279ad,Introduced,,,{}
5640c538-4cef-4c8c-b8d7-7f600ea9cd48,ocd-bill/347d93cb-78fb-4a59-8957-4f71cc3e54d8,Introduced,,,{}
a5ccbb7a-8263-4bab-8e0f-93201e6b7abf,ocd-bill/6832e166-bce2-40c1-8133-96df72d295a7,Introduced,,,{}
3a9fbab1-a296-40d4-aab9-e1660c42555b,ocd-bill/9fb6f034-88fa-41b2-b704-82aec7593709,Introduced,,,{}
a9bb5db9-4e39-431a-b39e-2788493ad147,ocd-bill/561068c1-df7f-4268-9907-1dc447ee638f,Introduced,,,{}
4957bc7e-4caa-4176-ac4e-7b57e7113e75,ocd-bill/048afb7f-24ab-43a3-924c-94a05ba83c27,Introduced,,,{}
cf2ea883-a7d5-4e52-864c-aca771ee3cb7,ocd-bill/f1cc7f71-56d7-4910-9a52-3ceeffcc77c4,Introduced,,,{}
4fa0fa79-1358-4112-861d-d7381136a0b3,ocd-bill/e8323dcf-275d-458e-bcb9-90701623134a,Introduced,,,{}
46f13852-7f98-4658-8330-95657a82d953,ocd-bill/e6d998ca-d5f2-4d2b-822c-224e20149d63,Introduced,,,{}
13d7ceb3-71af-4c1a-9919-2e1d72466995,ocd-bill/11e0fa75-e32a-4fd7-8ea1-4fc572fd6a1d,Introduced,,,{}
baf563d4-c755-4eb6-8d66-f96bf8fea1a0,ocd-bill/2add09e1-4b8e-4aa1-94e1-8bc92f79dfa6,Introduced,,,{}
d695d5c9-7644-47c2-a0d4-65f748c9244c,ocd-bill/fba1c136-bd67-4cf2-8d5b-9ae8376cafc1,Introduced,,,{}
