id,identifier,motion_text,motion_classification,start_date,result,organization_id,bill_id,bill_action_id,jurisdiction,session_identifier
ocd-vote/334da918-f592-4553-9588-9b4b03bbd550,,Third Reading,[],2023-01-11,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/9d67a681-bda1-4a17-bdbc-1be2d2517c89,,Illinois,103rd
ocd-vote/e343de4a-2336-4881-84db-2f5d90305508,,Motion To Adopt,['passage'],2023-01-12,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/27f64059-0fae-42b1-9ef9-1e124c972329,,Illinois,103rd
ocd-vote/87c7e156-12d0-4d4c-8ec7-1d3629a868cb,,Motion To Adopt,['passage'],2023-01-25,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/45f93a22-7644-482e-be00-34ee33c1f07c,,Illinois,103rd
ocd-vote/01b3799e-c3a9-4e6c-a0c0-c7863032f1d4,,Third Reading,[],2023-02-01,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/6085d2e4-831c-4d58-b137-fea8b7d2b59c,,Illinois,103rd
ocd-vote/0e7a1101-0e5e-4df4-a7be-aa67bdc8e6d9,,Judiciary,[],2023-02-07,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/acfb3d4a-c582-4208-ba8c-bfa3587b3d3f,,Illinois,103rd
ocd-vote/38764aa3-aad5-4902-82fa-5a47b4d9d0cd,,Judiciary,[],2023-02-07,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/85d557c6-7e89-4901-b075-b856c69d8042,,Illinois,103rd
ocd-vote/06072f64-f7c0-4dfd-b567-2cd86a5e5efa,,Insurance,[],2023-02-07,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/a9d96ed1-debf-4ce1-9928-17c78bb2feec,,Illinois,103rd
ocd-vote/ba40d323-7fab-44a7-ac34-2a6ba1f3f779,,Judiciary,[],2023-02-07,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/85d557c6-7e89-4901-b075-b856c69d8042,,Illinois,103rd
ocd-vote/ef8023d2-2adf-4564-978b-da268fd47891,,Insurance,[],2023-02-07,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/9d8a17a5-ea87-4e26-9871-94f9094a4d13,,Illinois,103rd
ocd-vote/0a7dac32-b8ba-480d-8877-f87fff4b053f,,Judiciary,[],2023-02-14,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/fe93d4a7-d3e2-4972-9c75-1bcf53a98b72,,Illinois,103rd
ocd-vote/229cd7c6-91f2-4760-8b0e-961830cdcc83,,Energy & Environment,[],2023-02-14,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/a708b851-a6ca-49e3-b9bb-0143f68c057c,,Illinois,103rd
