id,bill_id,note,date,classification,extras
6498e167-2dcf-4999-82a0-bbb2c912617a,ocd-bill/315c3cd1-fd73-44c1-aeb2-2041095795f5,Public Act,,,{}
b100e8ee-eada-4874-8e0a-325dc8624300,ocd-bill/99f335f6-4ce1-46bd-9e3e-4095151752af,Public Act,,,{}
2761b608-aeeb-4e73-b294-37e7f4eb1a0f,ocd-bill/0a502989-bcaf-4e96-a19f-509314d975be,Public Act,,,{}
5fbf0456-23f8-48fc-ade9-976a2a71cdf2,ocd-bill/6be183d7-5d16-4b38-9247-7c021f01d6ec,Public Act,,,{}
ed15479b-3cf3-4c86-a189-e961c2ffe604,ocd-bill/c17f2fa8-b1f4-4c10-acee-506317c793e6,Public Act,,,{}
796220b8-ce75-4d5b-8568-1cd8d71ffb5a,ocd-bill/865c72f6-6eb5-463a-8b10-98a9e45c1360,Public Act,,,{}
6e732f64-79ab-409b-8ebc-ca00627baf1f,ocd-bill/e0aa6457-1f56-4eeb-ab8b-50c0eb5724aa,Public Act,,,{}
a91e50f7-767f-4d80-87b1-5f609c684c59,ocd-bill/d4491db9-6867-4d28-9503-f6768760ac5e,Public Act,,,{}
04c6b4fe-fe75-4b9f-90c9-540bcc91d8e8,ocd-bill/733601c1-a10c-43dd-a347-51d77652bb18,Public Act,,,{}
da71b41e-1b7b-41b9-9bb1-436d47e9b669,ocd-bill/d5ae930f-b9e3-4529-9206-0c3b1da29309,Public Act,,,{}
47a9f5a1-b446-4395-a4e5-e2089bc437c5,ocd-bill/170e4abf-7880-4acb-810c-7414ce537aa0,Public Act,,,{}
687212a8-c3be-4439-9cd7-f11d72b3073f,ocd-bill/8819d976-11b8-48f9-a15c-076f0298b349,Public Act,,,{}
c24cb307-f5f2-4ed2-8266-4846b6a10a76,ocd-bill/ddc54aed-6e6d-4094-8079-f89acb3fe660,Public Act,,,{}
4dce0d4f-72a9-4033-9861-f4ae9781ef9b,ocd-bill/57505e5f-24a7-4d5f-8747-5aaaa5d4f4f8,Public Act,,,{}
7dae43a0-2bcd-4b97-8c3f-3a29d6e0fbf5,ocd-bill/c9a5085e-a3f6-476e-b471-21fb61e83a5a,Public Act,,,{}
ca01fd62-f76a-4611-a9dc-9d1e10d8ccae,ocd-bill/715c06ff-4064-41ea-83b9-86f45a10eaae,Public Act,,,{}
c59435a5-6243-4120-b9fd-5834bde8a3bf,ocd-bill/c923c0f4-ca07-4d35-bdb2-e4d4b4bc6444,Public Act,,,{}
2ca58d47-0f51-4cbc-826e-2382412fe65b,ocd-bill/95ec692f-f395-49f0-9c65-b10e842e988f,Public Act,,,{}
0ac773e0-4164-4988-8e6f-ab7761945d47,ocd-bill/41cb04fd-d282-4cda-b4dc-73a48fa4c42c,Public Act,,,{}
7e51d14d-866b-4e1e-8b41-4e92d64ccd62,ocd-bill/41cb04fd-d282-4cda-b4dc-73a48fa4c42c,Governor's Message,,,{}
c08642a7-4449-4098-9d06-49c7b9bc890d,ocd-bill/2d13a3d5-4983-4214-9941-e014b1490677,Public Act,,,{}
87051476-ba7f-4e6f-8b72-53d6b04766c4,ocd-bill/b5a8843c-78fa-41e3-841c-f4854723ecc4,Public Act,,,{}
396a0fe6-b2c0-47a8-bf65-fbdbb3ff926d,ocd-bill/ef26e740-7db8-4664-ac6f-bba893a3b10e,Public Act,,,{}
91ae6e9f-58e6-4f81-9f5b-28b5388ebcce,ocd-bill/558c76b5-bd62-45f7-8b5a-3747cd1efe5c,Public Act,,,{}
37873ca4-2976-4004-aa6a-394edd1509ca,ocd-bill/9dce2b5f-2d3e-46c7-843f-c9ba9a544fac,Public Act,,,{}
e060b593-892c-46fb-84a4-7ac06fe9eb22,ocd-bill/09f5b1ea-4962-47ed-afb9-ab586a44f3b2,Public Act,,,{}
ec5c7f50-410a-4a9b-9c36-e24c27973937,ocd-bill/7b1a135d-6258-43c3-9bfe-3039d638e139,Public Act,,,{}
515f7e91-b2ab-4923-849d-a0188ae90fb6,ocd-bill/e5853d7c-3588-4870-bb97-955cd5f34480,Public Act,,,{}
ad14fe1a-8762-4299-9ca4-f5c794c1092e,ocd-bill/9418770b-7443-4d2b-ae81-815f6ab57620,Public Act,,,{}
c00e6773-7b1d-4b1a-9df7-3c3d8ea9d292,ocd-bill/d624bed0-ce43-45be-9b01-ac4a611caf53,Public Act,,,{}
