id,bill_id,note,date,classification,extras
f5578f82-149a-4225-a904-d7e6ab498fe0,ocd-bill/8a856623-fbbb-4ebb-9ef8-cf32bec61a3c,Introduced,,,{}
f8b9bdee-be2a-45b7-853b-7bd0923482f7,ocd-bill/28fa4678-7876-4a24-a76f-409468f6b45a,Introduced,,,{}
117a6792-dc80-4e8a-9c4f-ddf820f8d0d2,ocd-bill/ea418132-d145-4c4d-aea1-924b0910f1d6,Introduced,,,{}
249012f2-80f1-4f63-8223-aa8dd32cb9e0,ocd-bill/a5bb10be-8c1d-4d25-a67d-a42829707855,Introduced,,,{}
a8f0413d-181e-4344-af26-5efe0c31fb2d,ocd-bill/658a0142-b198-4c99-9cf4-e13da17a47b8,Introduced,,,{}
11d8e4c1-7813-4f6f-8abc-0f017700e1c5,ocd-bill/96671118-f22a-44a1-80bd-c129dc04d97c,Introduced,,,{}
d789ad2b-9dc9-4e3a-a5f0-3860beaf82cc,ocd-bill/46831b61-c076-497d-81c9-e181462d596c,Introduced,,,{}
f58ef6c0-fdd4-482d-9482-cfcfaba9260d,ocd-bill/d5b0fd21-8ad2-42e8-b65c-3a805d0f78f8,Introduced,,,{}
f7c316df-1b4d-4b60-9291-46877912876f,ocd-bill/4f6eb68c-5608-4e76-a2ff-b37b4e89ff19,Introduced,,,{}
d01d847b-d89f-4ed7-9b4e-8ffb19613d16,ocd-bill/714b489c-ad3d-47b1-bc3a-6c00c444ef05,Introduced,,,{}
a52c931c-5029-448c-bd20-37bb8bf45298,ocd-bill/f2fd1001-3a93-407d-8aac-ebc6b9682397,Introduced,,,{}
4bd7fd4e-b3f3-4cda-bfc9-f1669c6e5d9e,ocd-bill/d6f7a8e3-d44b-40c6-b8ef-f75e8a9bcadd,Introduced,,,{}
97f6aceb-68c8-456b-a889-7d48e3522794,ocd-bill/8d98f75b-ca7a-468f-9448-dc295343fb1c,Introduced,,,{}
9da7a5f9-294f-4784-9987-c162f456d95a,ocd-bill/968e6cb3-8059-4902-87e6-a456642cc491,Introduced,,,{}
3ea70506-030a-41dc-bb77-38698ee6b858,ocd-bill/a77ec0b7-5553-4a2f-92ac-16b213c18411,Introduced,,,{}
0a25634e-f98e-4cf5-aa68-62bd2552f496,ocd-bill/ccbe6a4f-d70c-41b1-9da7-ec5be4f6beed,Introduced,,,{}
c0051ac5-f4c8-482f-b1c2-ddd2842619e9,ocd-bill/78d8cbc0-8752-4f7c-9767-4bb446115f40,Introduced,,,{}
3e58bd29-a52f-4b2e-ab51-ffe2f9f9dd32,ocd-bill/6f419d17-26d5-422a-ae44-bd5707c56357,Introduced,,,{}
b439fa73-d96e-48ad-8393-6f3d30e33267,ocd-bill/cf1360d7-8f58-4af4-9c91-63a7df39ddf9,Introduced,,,{}
5af2e347-3fe0-4849-862d-90492f71f0b5,ocd-bill/479e97ec-f58b-45f2-b43d-96a234524b56,Introduced,,,{}
0278838b-cbe5-428b-b9e9-a30f1a84e613,ocd-bill/de33870c-e64a-4889-a5b2-73be4c0a6100,Introduced,,,{}
b5421cbd-c5a5-4ce0-84fe-435065e63385,ocd-bill/5c1cf244-e14f-4625-9a73-e84257882a00,Introduced,,,{}
20cf0c62-772a-4b76-a435-163236db86bd,ocd-bill/235f75b1-071e-403d-af15-6705af733854,Engrossed,,,{}
89f6fa2c-75f8-48e5-995f-5baa32083b99,ocd-bill/235f75b1-071e-403d-af15-6705af733854,Enrolled,,,{}
e34aca04-732d-48ee-9a0a-6790e448be97,ocd-bill/235f75b1-071e-403d-af15-6705af733854,House Amendment 001,,,{}
5acad766-5885-435d-9742-a40269a4e332,ocd-bill/235f75b1-071e-403d-af15-6705af733854,House Amendment 002,,,{}
c5833f2b-8b4a-4537-817f-e87e08683d85,ocd-bill/200934da-2579-4841-a918-6a40b9ff3363,Introduced,,,{}
661d1e1f-9fd3-4725-ba90-317667dd6618,ocd-bill/27e53ec7-7676-440c-ade8-c5eb33cae44c,Introduced,,,{}
c6d6a278-0add-490d-b246-3b84f8a1486c,ocd-bill/2764ad46-47fe-4a47-8dc4-d90911b6d1af,Introduced,,,{}
600ff2bd-46d4-415e-bce3-a4e712092f62,ocd-bill/f4c4591d-c325-4d72-b1c1-15b45585892c,Introduced,,,{}
0caeb99b-8ef4-43fc-abe8-91ce3254e358,ocd-bill/ada2ae8b-f9e3-4cf6-aec6-360545f77e86,Introduced,,,{}
29857c9f-a0c0-4605-a042-8657d94e5558,ocd-bill/90ff7a09-be4d-418d-8120-09254e688e6d,Introduced,,,{}
1c7e2008-ca3f-4893-a14b-849b249bf788,ocd-bill/c38d6f3f-e92d-4b88-ab43-1e8d4f89bdf6,House Amendment 001,,,{}
4b429160-f231-433d-ba5a-f9e0880dd4f9,ocd-bill/40adc9d0-3c28-4bc2-a0df-06ccee057607,Introduced,,,{}
3ef2bb1d-4509-4281-85b2-954916367d0e,ocd-bill/88aa64b1-bb90-44c7-9f6f-a2b48d59c1ef,Introduced,,,{}
41d8182a-3674-43df-9cf7-58921a5e5f86,ocd-bill/d60cd1ef-dff4-400d-b390-9f90f9f1d0b7,Introduced,,,{}
c94dd8be-db20-44e8-9386-419945ca2d66,ocd-bill/acb96fb3-5688-4d0d-906d-758176edec6c,Introduced,,,{}
4d91f809-a5de-4539-8d39-e64bc9307aaa,ocd-bill/6b28ba20-9e16-4b38-b7e4-d7db04a8f67d,Introduced,,,{}
3f528ea5-c8cd-4a2e-aeec-1e05e5a1a772,ocd-bill/a1a42e55-57ec-4608-8b35-4d3b29d790e2,Introduced,,,{}
913e922b-8d80-4fa1-aa7c-695d01d6be86,ocd-bill/af07db74-27c2-426d-8f07-c464f523c2d3,Introduced,,,{}
149646bc-d23f-4d50-afb1-76d04ac1ee3e,ocd-bill/b577cfd8-eadc-464e-9c16-81151cf0c9c4,Introduced,,,{}
dd83612a-91f4-4a73-9627-b4b645ca5ab0,ocd-bill/b577cfd8-eadc-464e-9c16-81151cf0c9c4,Engrossed,,,{}
10aee188-53af-4941-82e9-b04a28ecf502,ocd-bill/b577cfd8-eadc-464e-9c16-81151cf0c9c4,House Amendment 001,,,{}
2eb6129b-f17b-4f72-883c-8174a052f4f1,ocd-bill/b577cfd8-eadc-464e-9c16-81151cf0c9c4,Senate Amendment 001,,,{}
86fbd04f-447a-4f20-975c-f29654e5c144,ocd-bill/b577cfd8-eadc-464e-9c16-81151cf0c9c4,Senate Amendment 002,,,{}
aeb12adf-0abb-4d38-b071-02018e4b1f87,ocd-bill/f0f10a26-75e7-44e6-9958-6a75edf8da14,Introduced,,,{}
f7b6a1f9-c8b1-498f-a0a7-673d6370ad10,ocd-bill/d2b5b35f-55ab-4fcc-a406-9f6abba5a205,Introduced,,,{}
