id,identifier,title,classification,subject,session_identifier,jurisdiction,organization_classification
ocd-bill/c5de4bb9-edaf-4785-81a6-06768281eb76,SR 505,NO TAX DECOUPLING-FEDS,['resolution'],[],104th,Illinois,upper
ocd-bill/207b652d-33b8-490c-8e37-58c98bf08a3f,AM 1040067,APPOINT-JANICE MARIE GLENN,['appointment'],[],104th,Illinois,upper
ocd-bill/2f334fe3-d0bd-4589-9e1c-80008d0eeea5,HB 2686,REVENUE-LOCAL DISTRIBUTIONS,['bill'],[],104th,Illinois,lower
ocd-bill/41237f66-57f6-41bf-92eb-39fd09dd3570,AM 1040091,APPOINT-CHERITA ELLENS,['appointment'],[],104th,Illinois,upper
ocd-bill/31179116-d301-4232-b07d-0147b0c6cfd5,AM 1030583,APPOINT-MARY P. KENNELLY,['appointment'],[],104th,Illinois,upper
ocd-bill/b6d316b6-ce6e-4c1f-a45f-3804fd599670,HB 3022,LIQUOR CONTROL-PROCEEDS,['bill'],[],104th,Illinois,lower
ocd-bill/be9d39a8-a180-4c15-b501-6744696633a8,AM 1040098,APPOINT-CHARLES C. HICKS,['appointment'],[],104th,Illinois,upper
ocd-bill/8877263f-6dd4-49c5-ba93-aec8df8b4a1e,AM 1040080,APPOINT-SHIRLEY A. PEREZ,['appointment'],[],104th,Illinois,upper
ocd-bill/acb69ab0-bb26-4999-b1f5-339e04e9aadd,HB 4193,CANNABIS-R3 COMMITTEE,['bill'],[],104th,Illinois,lower
ocd-bill/bf6e3098-5655-4591-89d3-af2a04e1c784,AM 1040084,APPOINT-DEMOYA RENEE GORDON,['appointment'],[],104th,Illinois,upper
ocd-bill/7e20983a-2a20-4da8-8718-53a3d51c3bc6,HR 413,COMMEND-MICHAEL ROSENBAUM,['resolution'],[],104th,Illinois,lower
ocd-bill/3d558c81-d66f-43be-a870-4447b07fd239,HB 1616,ORGAN DONOR LEAVE-PART-TIME,['bill'],[],104th,Illinois,lower
ocd-bill/e5a6f137-b83d-4df6-aaa3-da420b0fbcd4,AM 1040073,APPOINT-JAMES G. ARGIONIS,['appointment'],[],104th,Illinois,upper
ocd-bill/bdd805f3-8ec1-40a3-abcc-85aa7eb27081,SB 2510,$APPROPRIATIONS-VARIOUS,['bill'],[],104th,Illinois,upper
ocd-bill/1a7c41d6-9f9a-4c2a-8432-ff6b21e7d0ac,AM 1040074,APPOINT-NOAH FINLEY,['appointment'],[],104th,Illinois,upper
ocd-bill/db999233-553b-4fb3-8c23-1be898eb31bd,AM 1040152,APPOINT-TONNETTE R. WILLIAMS,['appointment'],[],104th,Illinois,upper
ocd-bill/5a9b179b-b412-460a-9873-0540453011e3,SB 2736,EPA-NATURAL GAS PEAKER PLANTS,['bill'],[],104th,Illinois,upper
ocd-bill/832d91de-3c82-4dbf-b0c9-7a4fb57f8ce4,SB 1527,NUCLEAR MORATORIUM REPEAL,['bill'],[],104th,Illinois,upper
ocd-bill/bc3af455-1adf-4941-9b2f-98a483ad29af,SR 502,RECOGNIZES-REO SPEEDWAGON,['resolution'],[],104th,Illinois,upper
ocd-bill/b3236625-b11c-4b67-9248-d9658a136a70,AM 1040095,APPOINT-FRANCES PAO-HAN KAO,['appointment'],[],104th,Illinois,upper
ocd-bill/c406d05e-c380-48d5-9224-a5df9a752742,AM 1040151,APPOINT-VERONICA HERRERO,['appointment'],[],104th,Illinois,upper
ocd-bill/bcd502eb-7eef-4dd3-bb60-0b4c2473714b,AM 1040072,APPOINT-STEPHEN A. KOURI II,['appointment'],[],104th,Illinois,upper
ocd-bill/6ff24b9c-86ef-4cfe-8e3a-8a8724ced48b,HB 4192,HIGHER ED-UNIV TUITION WAIVER,['bill'],[],104th,Illinois,lower
ocd-bill/65184ef3-406f-4288-8959-121a8c496249,AM 1030585,APPOINT-ALANA THOMPSON-BYRD,['appointment'],[],104th,Illinois,upper
ocd-bill/6fa1dc58-c58b-403a-9716-5983c11b2d23,AM 1040109,APPOINT-A. WILLIAMS-SCHAFER,['appointment'],[],104th,Illinois,upper
ocd-bill/ebf2d878-1d58-4315-8e18-24e7db1496fc,HB 1772,ST FINANCE-CANNABIS REG FUND,['bill'],[],104th,Illinois,lower
ocd-bill/fcb55611-f126-4b6e-a7fa-e0c6a8fcc9ad,HB 2681,PARK DIST AQUARIUM/MUSEUM ACT,['bill'],[],104th,Illinois,lower
ocd-bill/e2b62501-717a-47af-afaa-5d9fff21cf7e,AM 1040066,APPOINT-ANN P. KALAYIL,['appointment'],[],104th,Illinois,upper
ocd-bill/975d13c3-5efa-481d-afdf-42656af1d63b,AM 1040107,APPOINT-HEIDI E. MUELLER,['appointment'],[],104th,Illinois,upper
ocd-bill/f6ac7136-8cbf-4537-b58c-8d15bbf8ddeb,AM 1040018,APPOINT-RAMONE L. COLLINS,['appointment'],[],104th,Illinois,upper
ocd-bill/a03b769d-8fb5-44a2-ba08-7f68cd7e299b,HB 4194,DAY CARE-IMMIGRATION ENFORCE,['bill'],[],104th,Illinois,lower
ocd-bill/c0682ff3-22c3-4a84-837f-a32700d61ef1,SB 2737,CONSUMER FRAUD-GROCERY COUPONS,['bill'],[],104th,Illinois,upper
ocd-bill/eaff9408-8324-4ff4-8d6e-436f962918ae,HR 542,ARGENTINA BAILOUT-OPPOSE,['resolution'],[],104th,Illinois,lower
ocd-bill/c91e57f9-54ed-44f0-a77c-291f04fb2027,SR 506,RECOGNIZES-COUNCIL OF ST GOVTS,['resolution'],[],104th,Illinois,upper
ocd-bill/8dcf946e-de19-4e0c-8f0e-c2aacaa21bbc,HB 4191,VEH CD-DL INFO PROHIBITED USES,['bill'],[],104th,Illinois,lower
ocd-bill/6f49af0e-a406-4247-9de7-29d1f92cbeb5,AM 1040068,APPOINT-ROCCO J. ZUCCHERO,['appointment'],[],104th,Illinois,upper
ocd-bill/f12fd5cc-e66d-4a68-acfe-5c7360a8b88b,SR 499,CONGRATS-PROJECT COMPASSION,['resolution'],[],104th,Illinois,upper
ocd-bill/b1f60fe8-53fd-4250-89ee-91a4af7e725f,SR 464,HINDU HERITAGE MONTH,['resolution'],[],104th,Illinois,upper
ocd-bill/e2cb2696-6362-4780-bf6a-b2817844549b,HR 531,COMMENDS-D. COURT HARRIS,['resolution'],[],104th,Illinois,lower
ocd-bill/bbb8a0d5-98a4-4694-b31f-01442a5504f1,AM 1040070,APPOINT-MITCHELL R. DAVIS III,['appointment'],[],104th,Illinois,upper
ocd-bill/6e317598-63c5-4607-85c4-597b121f9cef,AM 1040014,APPOINT-JOHN ARTHUR HERRMANN,['appointment'],[],104th,Illinois,upper
ocd-bill/80bd38c6-70e7-47c1-89c8-4826ad622d1e,AM 1040022,APPOINT-SHIH-YEW CHEN,['appointment'],[],104th,Illinois,upper
ocd-bill/98798289-7d35-43ed-a8e9-5063a5d1cbf1,HR 540,HISPANIC HERITAGE MONTH,['resolution'],[],104th,Illinois,lower
ocd-bill/08af7423-9783-4d41-9077-975c69c28af0,AM 1030595,APPOINT-ANGELA AYE TIN O'BRIEN,['appointment'],[],104th,Illinois,upper
ocd-bill/bf2a6494-8d00-42cd-8754-ca728e686a09,HR 539,MEMORIAL-LINDA N. HOEFERT,['resolution'],[],104th,Illinois,lower
ocd-bill/0dd3ac96-3f6b-4af6-bac3-be526ba4c285,SB 1571,CRIM CD-PENAL INST-CONTRABAND,['bill'],[],104th,Illinois,upper
ocd-bill/da2f5372-437e-47cc-9252-74e73f5eb541,SB 1639,VEH CD-INSURANCE VERIFICATION,['bill'],[],104th,Illinois,upper
ocd-bill/f5b25c86-9744-4ca6-b6cb-4f385ec336d0,HB 1082,MUNICIPALITIES-AUDITS,['bill'],[],104th,Illinois,lower
ocd-bill/eccc95b3-c25d-44a4-a24f-28c1f5c96e73,SB 1553,XYLAZINE-SCHED III-PENALTIES,['bill'],[],104th,Illinois,upper
ocd-bill/6542af3c-e6c2-4f4e-a8ee-b21e4c236ca8,SB 1606,MEDICAID-NURSING FACILTY RATES,['bill'],[],104th,Illinois,upper
ocd-bill/2b18026c-4051-4a5b-a034-3feee83d4ab4,SB 1582,EPA-APPLIANCE STANDARDS,['bill'],[],104th,Illinois,upper
ocd-bill/18422329-5bec-4052-9c1b-ab3cf1a7cc88,HR 96,CONGRATS-HAVANA CHURCH,['resolution'],[],104th,Illinois,lower
ocd-bill/c11a9345-15f8-48a5-b4bc-550a4a939b09,HB 1083,PROPERTY-GENDER NEUTRAL,['bill'],[],104th,Illinois,lower
ocd-bill/2d48a343-191e-4805-aedf-b4bcfafdba87,SB 1207,PROP TX-PROBATE,['bill'],[],104th,Illinois,upper
ocd-bill/df0d64e3-f753-4c2b-ae10-379deb14db24,HB 1052,FOOD TRUCK FREEDOM ACT,['bill'],[],104th,Illinois,lower
ocd-bill/114ff730-c5c7-4ac9-87e2-62993af4460f,HB 2543,PROP TX-TAXPAYER EMPOWERMENT,['bill'],[],104th,Illinois,lower
ocd-bill/55080bbf-ee46-4cb8-804b-9a658d7fe801,SB 1589,PUBLIC BENEFITS-MENTAL HEALTH,['bill'],[],104th,Illinois,upper
ocd-bill/1428a206-327f-460b-baa2-e18ce1d76a9a,HR 88,CONGRATS-CALHOUN HS VBALL,['resolution'],[],104th,Illinois,lower
ocd-bill/27a3df24-9462-43be-8777-0a4be547527f,SB 1503,WORK COMP-COSTS AND FEES,['bill'],[],104th,Illinois,upper
ocd-bill/3ae68e2b-b2a1-4175-baa1-a45a4f529a7e,SB 1512,CONSUMER FIN PROTECTION LAW,['bill'],[],104th,Illinois,upper
ocd-bill/b099f3bf-cab2-4d87-ad1e-5cb2df2cb0f2,HB 1064,COMMUNITY MH-LIBRARY DISTRICTS,['bill'],[],104th,Illinois,lower
ocd-bill/9bf884b4-bfbc-4a34-b85d-75d5a89589fc,AM 1040044,APPOINT-ARACELI G. GARZA,['appointment'],[],104th,Illinois,upper
ocd-bill/dbf4a27e-b996-4f1f-9d7e-0834fb32b121,SB 1268,PEN CD-IMRF-DEATH BENEFIT,['bill'],[],104th,Illinois,upper
ocd-bill/fccd31e0-4e48-4ab5-8361-3caf7d012d77,SB 1187,PEN CD-CHI POLICE-TIER 2,['bill'],[],104th,Illinois,upper
ocd-bill/50dfa284-9b4c-4738-868a-b72656c0c4d2,SB 1533,MOTOR VEHICLE SALES-LIABILITY,['bill'],[],104th,Illinois,upper
ocd-bill/5b63b346-3491-449b-ab07-0ae5724216e0,SB 1179,ENERGY-INSULATION REQ IN HOMES,['bill'],[],104th,Illinois,upper
ocd-bill/d645bdd2-785d-4b57-8be2-c6759f38ecf6,HB 1063,ILLINOIS WORKS-APPRENTICES,['bill'],[],104th,Illinois,lower
ocd-bill/7e8adae2-6ebc-41bf-a361-a0e9a44d2dde,SB 1539,SUBURBAN BUS BOARD BIDDING,['bill'],[],104th,Illinois,upper
ocd-bill/3d5942c4-3125-4347-a062-bd8b3ab5409c,SB 1567,CRIM CD-CHILD PORNOGRAPHY,['bill'],[],104th,Illinois,upper
