created_at,updated_at,extras,id,name,parent_id,jurisdiction_id,classification,sources,links,other_names
2018-06-19 20:04:16.342217+00:00,2020-04-29 05:07:05.191229+00:00,{},ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,House,ocd-organization/52332da7-9146-412e-bf64-a291e2757b63,ocd-jurisdiction/country:us/state:il/government,lower,[],[],[]
2024-05-29 00:29:54.560742+00:00,2025-03-29 02:58:55.589935+00:00,{},ocd-organization/a35d6e16-301f-4bcc-be10-b5ce96ca84ac,Pensions,ocd-organization/20782ae5-cc22-4470-846b-fd9788ad3db7,ocd-jurisdiction/country:us/state:il/government,committee,"[{'url': 'https://www.ilga.gov/senate/committees/members.asp?CommitteeID=3130', 'note': ''}]","[{'url': 'https://www.ilga.gov/senate/committees/members.asp?CommitteeID=2965', 'note': 'homepage'}, {'url': 'https://www.ilga.gov/senate/committees/members.asp?CommitteeID=3130', 'note': ''}]","[{'name': 'Pensions', 'end_date': '', 'start_date': ''}, {'name': 'Pensions Special', 'end_date': '', 'start_date': ''}, {'name': 'Senate Committee on Pensions', 'end_date': '', 'start_date': ''}, {'name': 'Senate Committee on Pensions Special', 'end_date': '', 'start_date': ''}, {'name': 'Senate Pensions', 'end_date': '', 'start_date': ''}, {'name': 'Senate Pensions Committee', 'end_date': '', 'start_date': ''}, {'name': 'Senate Pensions Special', 'end_date': '', 'start_date': ''}, {'name': 'Senate Pensions Special Committee', 'end_date': '', 'start_date': ''}]"
2023-02-15 00:38:08.872062+00:00,2025-04-05 02:44:44.639140+00:00,{},ocd-organization/6f0f2540-832c-4aea-a475-d9e90fe14f56,Transportation,ocd-organization/20782ae5-cc22-4470-846b-fd9788ad3db7,ocd-jurisdiction/country:us/state:il/government,committee,"[{'url': 'https://www.ilga.gov/senate/committees/default.asp', 'note': 'homepage'}, {'url': 'https://www.ilga.gov/senate/committees/members.asp?CommitteeID=2909', 'note': ''}, {'url': 'https://www.ilga.gov/senate/committees/members.asp?CommitteeID=3079', 'note': ''}]","[{'url': 'https://www.ilga.gov/senate/committees/default.asp', 'note': ''}, {'url': 'https://www.ilga.gov/senate/committees/members.asp?CommitteeID=2909', 'note': 'homepage'}, {'url': 'https://www.ilga.gov/senate/committees/members.asp?CommitteeID=3079', 'note': ''}]","[{'name': 'Senate Committee on Transportation', 'end_date': '', 'start_date': ''}, {'name': 'Senate Transportation', 'end_date': '', 'start_date': ''}, {'name': 'Senate Transportation Committee', 'end_date': '', 'start_date': ''}]"
2025-02-21 16:24:58.293026+00:00,2025-04-05 02:44:46.023510+00:00,{},ocd-organization/218998f3-3346-4100-984f-b80575c0f87b,Child Welfare,ocd-organization/20782ae5-cc22-4470-846b-fd9788ad3db7,ocd-jurisdiction/country:us/state:il/government,committee,"[{'url': 'https://www.ilga.gov/senate/committees/members.asp?CommitteeID=3127', 'note': ''}]","[{'url': 'https://www.ilga.gov/senate/committees/members.asp?CommitteeID=3127', 'note': ''}]","[{'name': 'Senate Child Welfare', 'end_date': '', 'start_date': ''}, {'name': 'Senate Child Welfare Committee', 'end_date': '', 'start_date': ''}, {'name': 'Senate Committee on Child Welfare', 'end_date': '', 'start_date': ''}]"
2025-02-21 16:24:58.401604+00:00,2025-04-05 02:44:46.659277+00:00,{},ocd-organization/2f46afaf-08c8-4c7e-b071-1232a167e39d,Commerce,ocd-organization/20782ae5-cc22-4470-846b-fd9788ad3db7,ocd-jurisdiction/country:us/state:il/government,committee,"[{'url': 'https://www.ilga.gov/senate/committees/members.asp?CommitteeID=3128', 'note': ''}]","[{'url': 'https://www.ilga.gov/senate/committees/members.asp?CommitteeID=3128', 'note': ''}]","[{'name': 'Senate Commerce', 'end_date': '', 'start_date': ''}, {'name': 'Senate Commerce Committee', 'end_date': '', 'start_date': ''}, {'name': 'Senate Committee on Commerce', 'end_date': '', 'start_date': ''}]"
2018-06-19 20:04:16.333559+00:00,2020-04-29 05:07:05.486006+00:00,{},ocd-organization/20782ae5-cc22-4470-846b-fd9788ad3db7,Senate,ocd-organization/52332da7-9146-412e-bf64-a291e2757b63,ocd-jurisdiction/country:us/state:il/government,upper,[],[],[]
2023-02-15 00:38:04.420172+00:00,2025-02-21 16:24:57.508299+00:00,{},ocd-organization/c31abd6e-c6ae-4be8-b723-7ec9fa58c259,Revenue,ocd-organization/20782ae5-cc22-4470-846b-fd9788ad3db7,ocd-jurisdiction/country:us/state:il/government,committee,"[{'url': 'https://www.ilga.gov/senate/committees/default.asp', 'note': 'homepage'}, {'url': 'https://www.ilga.gov/senate/committees/members.asp?CommitteeID=2908', 'note': ''}, {'url': 'https://www.ilga.gov/senate/committees/members.asp?CommitteeID=3078', 'note': ''}]","[{'url': 'https://www.ilga.gov/senate/committees/default.asp', 'note': ''}, {'url': 'https://www.ilga.gov/senate/committees/members.asp?CommitteeID=2908', 'note': 'homepage'}, {'url': 'https://www.ilga.gov/senate/committees/members.asp?CommitteeID=3078', 'note': ''}]","[{'name': 'Senate Committee on Revenue', 'end_date': '', 'start_date': ''}, {'name': 'Senate Revenue', 'end_date': '', 'start_date': ''}, {'name': 'Senate Revenue Committee', 'end_date': '', 'start_date': ''}]"
2025-02-21 16:24:57.528916+00:00,2025-02-28 22:56:33.047609+00:00,{},ocd-organization/3a6bea83-6039-40cc-8535-f27f60a7d078,Criminal Law,ocd-organization/20782ae5-cc22-4470-846b-fd9788ad3db7,ocd-jurisdiction/country:us/state:il/government,committee,"[{'url': 'https://www.ilga.gov/senate/committees/members.asp?CommitteeID=3131', 'note': ''}]","[{'url': 'https://www.ilga.gov/senate/committees/members.asp?CommitteeID=3131', 'note': ''}]","[{'name': 'Senate Committee on Criminal Law', 'end_date': '', 'start_date': ''}, {'name': 'Senate Criminal Law', 'end_date': '', 'start_date': ''}, {'name': 'Senate Criminal Law Committee', 'end_date': '', 'start_date': ''}]"
2025-02-21 16:24:55.149771+00:00,2025-02-28 22:56:33.997268+00:00,{},ocd-organization/36124647-282f-4308-8ce7-d3199c8a64b3,"International Relations, Tourism and Trade",ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-jurisdiction/country:us/state:il/government,committee,"[{'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=3135&GA=104', 'note': ''}]","[{'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=3135&GA=104', 'note': ''}]","[{'name': 'House Committee on International Relations, Tourism and Trade', 'end_date': '', 'start_date': ''}, {'name': 'House International Relations, Tourism and Trade', 'end_date': '', 'start_date': ''}, {'name': 'House International Relations, Tourism and Trade Committee', 'end_date': '', 'start_date': ''}]"
2025-02-21 16:24:56.019616+00:00,2025-02-28 22:56:34.108203+00:00,{},ocd-organization/c3e4b50a-9c69-423d-9422-fd1add832c88,Appropriations: Pensions and Personnel,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-jurisdiction/country:us/state:il/government,committee,"[{'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=3133&GA=104', 'note': ''}]","[{'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=3133&GA=104', 'note': ''}]","[{'name': 'House Appropriations: Pensions and Personnel', 'end_date': '', 'start_date': ''}, {'name': 'House Appropriations: Pensions and Personnel Committee', 'end_date': '', 'start_date': ''}, {'name': 'House Committee on Appropriations: Pensions and Personnel', 'end_date': '', 'start_date': ''}]"
2023-02-15 00:38:07.737305+00:00,2025-02-21 16:24:57.607691+00:00,{},ocd-organization/a70c04e0-f599-46b2-969a-049d9adfa9a5,Public Health,ocd-organization/20782ae5-cc22-4470-846b-fd9788ad3db7,ocd-jurisdiction/country:us/state:il/government,committee,"[{'url': 'https://www.ilga.gov/senate/committees/default.asp', 'note': 'homepage'}, {'url': 'https://www.ilga.gov/senate/committees/members.asp?CommitteeID=2962', 'note': ''}, {'url': 'https://www.ilga.gov/senate/committees/members.asp?CommitteeID=3119', 'note': ''}]","[{'url': 'https://www.ilga.gov/senate/committees/default.asp', 'note': ''}, {'url': 'https://www.ilga.gov/senate/committees/members.asp?CommitteeID=2962', 'note': 'homepage'}, {'url': 'https://www.ilga.gov/senate/committees/members.asp?CommitteeID=3119', 'note': ''}]","[{'name': 'Senate Committee on Public Health', 'end_date': '', 'start_date': ''}, {'name': 'Senate Public Health', 'end_date': '', 'start_date': ''}, {'name': 'Senate Public Health Committee', 'end_date': '', 'start_date': ''}]"
2025-02-21 16:24:57.675968+00:00,2025-04-05 02:44:45.327693+00:00,{},ocd-organization/59bc0755-dbf3-4bab-80ed-cea0e6bdd015,Consumer Protection,ocd-organization/20782ae5-cc22-4470-846b-fd9788ad3db7,ocd-jurisdiction/country:us/state:il/government,committee,"[{'url': 'https://www.ilga.gov/senate/committees/members.asp?CommitteeID=3129', 'note': ''}]","[{'url': 'https://www.ilga.gov/senate/committees/members.asp?CommitteeID=3129', 'note': ''}]","[{'name': 'Senate Committee on Consumer Protection', 'end_date': '', 'start_date': ''}, {'name': 'Senate Consumer Protection', 'end_date': '', 'start_date': ''}, {'name': 'Senate Consumer Protection Committee', 'end_date': '', 'start_date': ''}]"
2023-02-15 00:38:05.806843+00:00,2025-02-21 16:24:57.836584+00:00,{},ocd-organization/a8ee72ac-a8a6-4085-b583-d2030f3187de,Financial Institutions,ocd-organization/20782ae5-cc22-4470-846b-fd9788ad3db7,ocd-jurisdiction/country:us/state:il/government,committee,"[{'url': 'https://www.ilga.gov/senate/committees/default.asp', 'note': 'homepage'}, {'url': 'https://www.ilga.gov/senate/committees/members.asp?CommitteeID=2903', 'note': ''}, {'url': 'https://www.ilga.gov/senate/committees/members.asp?CommitteeID=3073', 'note': ''}]","[{'url': 'https://www.ilga.gov/senate/committees/default.asp', 'note': ''}, {'url': 'https://www.ilga.gov/senate/committees/members.asp?CommitteeID=2903', 'note': 'homepage'}, {'url': 'https://www.ilga.gov/senate/committees/members.asp?CommitteeID=3073', 'note': ''}]","[{'name': 'Senate Committee on Financial Institutions', 'end_date': '', 'start_date': ''}, {'name': 'Senate Financial Institutions', 'end_date': '', 'start_date': ''}, {'name': 'Senate Financial Institutions Committee', 'end_date': '', 'start_date': ''}]"
