id,vote_event_id,option,value
aa0f3a9b-10a3-4f2b-be5b-2bf0b88971f5,ocd-vote/af30283f-e6db-4946-b995-c53dbec47226,not voting,4
9b38706e-851a-4c2c-b2fe-c4dc5c6f00d9,ocd-vote/af30283f-e6db-4946-b995-c53dbec47226,absent,0
82183eae-f870-43c7-ab09-98987341697e,ocd-vote/af30283f-e6db-4946-b995-c53dbec47226,excused,0
518a511b-64d2-4087-8f37-bcd91e5ede1a,ocd-vote/af30283f-e6db-4946-b995-c53dbec47226,other,0
f7f6071d-e4b8-4c41-9611-c643cd93039d,ocd-vote/af30283f-e6db-4946-b995-c53dbec47226,no,0
1077db86-e310-4ce7-b84e-a2981cf59324,ocd-vote/af30283f-e6db-4946-b995-c53dbec47226,yes,55
c42e932c-617b-4226-9ece-8be4b5118a9e,ocd-vote/7e7560bf-61cd-4427-9b79-07d80763bbc9,not voting,3
ae3fcd43-906e-4087-8b54-346b689ee922,ocd-vote/7e7560bf-61cd-4427-9b79-07d80763bbc9,absent,0
8245bb6a-c927-4545-87ae-4178288c0759,ocd-vote/7e7560bf-61cd-4427-9b79-07d80763bbc9,excused,0
c2222aaf-0c8f-4344-ac83-566a95c88beb,ocd-vote/7e7560bf-61cd-4427-9b79-07d80763bbc9,other,0
7b2affd2-1465-4b45-a1b1-27da50fe0d8d,ocd-vote/7e7560bf-61cd-4427-9b79-07d80763bbc9,no,0
6642f829-5505-4282-8132-c30115bc9a0a,ocd-vote/7e7560bf-61cd-4427-9b79-07d80763bbc9,yes,56
08dbeb0a-871d-4ca0-879b-37692a1359e8,ocd-vote/11931beb-0b2f-4505-b668-6573ede712a4,not voting,3
8c69d542-77f1-4cd5-be74-733d4f8e2c8a,ocd-vote/eefd52c5-33df-433f-957a-e0f902dc9fdf,not voting,0
897ea968-0a42-4586-bce6-dbd2a1b9ef83,ocd-vote/eefd52c5-33df-433f-957a-e0f902dc9fdf,absent,0
033071be-2ee4-4612-a463-b014a2509f51,ocd-vote/eefd52c5-33df-433f-957a-e0f902dc9fdf,excused,2
549ae01d-15bc-4d83-8375-e65cc2c7eee2,ocd-vote/eefd52c5-33df-433f-957a-e0f902dc9fdf,other,0
5a07e008-598d-4284-8afd-c78276ccfdd7,ocd-vote/eefd52c5-33df-433f-957a-e0f902dc9fdf,no,4
d14cde6d-4203-4d35-bd35-d605f5273db6,ocd-vote/eefd52c5-33df-433f-957a-e0f902dc9fdf,yes,112
199e5b2b-83ce-4de9-85bb-b2af25628bb1,ocd-vote/985a03c6-2894-411f-a62d-795da290f1e8,not voting,0
ee9d3ac8-d590-4bc9-88e0-21d071465f0d,ocd-vote/985a03c6-2894-411f-a62d-795da290f1e8,absent,0
ec844c64-31d3-4d0c-ae0e-de2dcad98349,ocd-vote/985a03c6-2894-411f-a62d-795da290f1e8,excused,4
bc0a3890-753f-4652-a318-fbadc6cb18dc,ocd-vote/985a03c6-2894-411f-a62d-795da290f1e8,other,0
0927a7dd-32f7-477c-a311-85ba77ee4dd7,ocd-vote/985a03c6-2894-411f-a62d-795da290f1e8,no,38
ff0c8efa-a9d2-4e2b-a877-463e977d7e1d,ocd-vote/985a03c6-2894-411f-a62d-795da290f1e8,yes,76
a00035b8-0d18-4a0c-a491-10d70739f258,ocd-vote/11931beb-0b2f-4505-b668-6573ede712a4,absent,0
9c0fff85-da90-4c9c-99b0-4475bc820bd5,ocd-vote/11931beb-0b2f-4505-b668-6573ede712a4,excused,0
778ca2f5-fa97-4908-be85-371b27d3ff78,ocd-vote/11931beb-0b2f-4505-b668-6573ede712a4,other,0
4957d7fb-b179-4d90-9ad6-d1e384a87255,ocd-vote/11931beb-0b2f-4505-b668-6573ede712a4,no,18
24632fc0-e0f5-4026-b675-22559f71ff6a,ocd-vote/11931beb-0b2f-4505-b668-6573ede712a4,yes,38
