,identifier,session_identifier,organization_classification,first_action,primary_sponsor_1_clean,primary_sponsor_2_clean,num_sponsors,became_law,referred_to_committee,committee_passages,passed_first_chamber,passed_full_legislature
0,HB 1277,103rd,lower,2023-01-19,Amy Elik,,5,False,False,0,False,False
1,HB 4017,103rd,lower,2023-03-14,Nabeela Syed,,6,False,False,0,False,False
2,SB 2535,103rd,upper,2023-03-07,Elgie Sims Jr,,12,False,True,0,False,False
3,SB 2816,103rd,upper,2024-01-17,Adriane Johnson,,3,False,False,0,False,False
4,HB 3418,103rd,lower,2023-02-17,Justin Slaughter,Laura Murphy,36,False,True,0,True,False
5,HB 4489,103rd,lower,2024-01-17,Emil Jones III,Suzanne Ness,2,False,True,0,True,False
6,SB 697,103rd,upper,2023-02-02,Don Harmon,,1,False,True,0,False,False
7,SB 3517,103rd,upper,2024-02-09,Sue Rezin,,2,False,False,0,False,False
8,SB 3049,103rd,upper,2024-02-02,Don Harmon,,1,False,True,0,False,False
9,SB 2651,103rd,upper,2024-01-10,Matt Hanson,Rachel Ventura,4,False,True,0,True,False
10,SB 2564,103rd,upper,2023-04-19,Cristina Castro,,1,False,True,0,False,False
11,SB 2707,103rd,upper,2024-01-10,Dan McConchie,,1,False,True,0,False,False
12,SB 2810,103rd,upper,2024-01-17,Laura Ellman,,1,False,True,0,False,False
13,SB 2833,103rd,upper,2024-01-19,Paul Faraci,,1,False,True,0,False,False
14,SB 2988,103rd,upper,2024-01-31,Sara Feigenholtz,,1,False,True,0,False,False
15,SB 2738,103rd,upper,2024-01-12,Mary Allen,,1,False,True,0,False,False
16,SB 2946,103rd,upper,2024-01-31,Jil Tracy,,1,False,True,0,False,False
17,SB 3521,103rd,upper,2024-02-09,Karina Villa,,1,False,True,0,False,False
18,SB 3466,103rd,upper,2024-02-08,Ram Villivalam,,1,False,True,0,False,False
19,SB 3562,103rd,upper,2024-02-09,Laura Ellman,,1,False,True,0,False,False
20,SB 3556,103rd,upper,2024-02-09,Ram Villivalam,,1,False,True,0,False,False
21,SB 3474,103rd,upper,2024-02-08,Elgie Sims Jr,,2,False,True,0,False,False
